rowname model jaccard
NT5002 YK0002 0.37683523654159873
NT5003 NT5001 0.18641114982578397
NT5003 NT5002 0.21501706484641636
NT5003 NT5003 0
NT5003 NT5004 0.1381692573402418
NT5003 NT5005 0.3448844884488449
NT5003 NT5006 0.34442595673876875
NT5003 NT5007 0.5468227424749165
NT5003 NT5008 0.3744
NT5003 NT5009 0.35612082670906203
NT5003 NT5011 0.3392857142857143
NT5003 NT5013 0.38220757825370677
NT5003 NT5014 0.3466898954703833
NT5003 NT5019 0.22876949740034663
NT5003 NT5020 0.26353790613718414
NT5003 NT5021 0.30338983050847457
NT5003 NT5022 0.44217687074829926
NT5003 NT5023 0.35947712418300654
NT5003 NT5024 0.3576051779935275
NT5003 NT5025 0.4323873121869783
NT5003 NT5026 0.34323922734026746
NT5003 NT5032 0.4085173501577287
NT5003 NT5037 0.33746130030959753
NT5003 NT5038 0.4176372712146423
NT5003 NT5040 0.3865546218487395
NT5003 NT5042 0.44000000000000006
NT5003 NT5044 0.4550084889643463
NT5003 NT5045 0.3870967741935484
NT5003 NT5046 0.3854838709677419
NT5003 NT5048 0.38202247191011235
NT5003 NT5049 0.14310344827586208
NT5003 NT5051 0.21280276816608998
NT5003 NT5052 0.19014084507042253
NT5003 NT5068 0.405616224648986
NT5003 NT5072 0.4332784184514003
NT5003 NT5074 0.19831932773109245
NT5003 NT5075 0.3690280065897858
NT5003 NT5076 0.33226837060702874
NT5003 NT5077 0.3630229419703104
NT5003 YK0001 0.35096153846153844
NT5003 YK0002 0.3952380952380953
NT5004 NT5001 0.1838487972508591
NT5004 NT5002 0.20910623946037102
NT5004 NT5003 0.1381692573402418
NT5004 NT5004 0
NT5004 NT5005 0.343089430894309
NT5004 NT5006 0.3233830845771144
NT5004 NT5007 0.5420098846787479
NT5004 NT5008 0.3488
NT5004 NT5009 0.3490566037735849
NT5004 NT5011 0.3376
NT5004 NT5013 0.369281045751634
NT5004 NT5014 0.37815126050420167
NT5004 NT5019 0.2226027397260274
NT5004 NT5020 0.30502599653379553
NT5004 NT5021 0.30782029950083195
NT5004 NT5022 0.42833052276559863
NT5004 NT5023 0.33605220228384997
NT5004 NT5024 0.3634920634920635
NT5004 NT5025 0.4521880064829822
NT5004 NT5026 0.3068862275449102
NT5004 NT5032 0.3984375
NT5004 NT5037 0.30482115085536554
NT5004 NT5038 0.4250814332247558
NT5004 NT5040 0.3894389438943894
NT5004 NT5042 0.4393700787401575
NT5004 NT5044 0.4305084745762712
NT5004 NT5045 0.4059405940594059
NT5004 NT5046 0.36757624398073835
NT5004 NT5048 0.35104669887278583
NT5004 NT5049 0.14431239388794567
NT5004 NT5051 0.17565217391304347
NT5004 NT5052 0.19999999999999998
NT5004 NT5068 0.37558685446009393
NT5004 NT5072 0.4403225806451613
NT5004 NT5074 0.1683501683501684
NT5004 NT5075 0.3615635179153094
NT5004 NT5076 0.30399999999999994
NT5004 NT5077 0.3324287652645862
NT5004 YK0001 0.32263242375601925
NT5004 YK0002 0.3826771653543307
NT5005 NT5001 0.36605657237936773
NT5005 NT5002 0.3685950413223141
NT5005 NT5003 0.3448844884488449
NT5005 NT5004 0.343089430894309
NT5005 NT5005 0
NT5005 NT5006 0.30434782608695654
NT5005 NT5007 0.5
NT5005 NT5008 0.30319148936170215
NT5005 NT5009 0.29545454545454547
NT5005 NT5011 0.2724014336917563
NT5005 NT5013 0.32181818181818184
NT5005 NT5014 0.39928057553956836
NT5005 NT5019 0.3787878787878788
NT5005 NT5020 0.37003610108303253
NT5005 NT5021 0.370242214532872
NT5005 NT5022 0.4389799635701275
NT5005 NT5023 0.3846153846153846
NT5005 NT5024 0.4066666666666667
NT5005 NT5025 0.4229390681003585
NT5005 NT5026 0.3422291993720565
NT5005 NT5032 0.3816013628620102
NT5005 NT5037 0.29411764705882354
NT5005 NT5038 0.39568345323741005
NT5005 NT5040 0.38240574506283664
NT5005 NT5042 0.4500846023688664
NT5005 NT5044 0.4527272727272727
NT5005 NT5045 0.35
NT5005 NT5046 0.24253731343283583
NT5005 NT5048 0.2776769509981851
NT5005 NT5049 0.34471544715447155
NT5005 NT5051 0.34634974533106955
NT5005 NT5052 0.3435897435897436
NT5005 NT5068 0.3622448979591837
NT5005 NT5072 0.38112522686025413
NT5005 NT5074 0.35284552845528455
NT5005 NT5075 0.2695167286245353
NT5005 NT5076 0.3017241379310345
NT5005 NT5077 0.4126547455295736
NT5005 YK0001 0.3806343906510851
NT5005 YK0002 0.38370118845500845
NT5006 NT5001 0.3712374581939799
NT5006 NT5002 0.362876254180602
NT5006 NT5003 0.34442595673876875
NT5006 NT5004 0.3233830845771144
NT5006 NT5005 0.30434782608695654
NT5006 NT5006 0
NT5006 NT5007 0.5148148148148148
NT5006 NT5008 0.3321616871704745
NT5006 NT5009 0.30052724077328646
NT5006 NT5011 0.31095406360424027
NT5006 NT5013 0.2992565055762082
NT5006 NT5014 0.4389380530973451
NT5006 NT5019 0.3562822719449225
NT5006 NT5020 0.415929203539823
NT5006 NT5021 0.36427320490367776
NT5006 NT5022 0.3889943074003795
NT5006 NT5023 0.32976827094474154
NT5006 NT5024 0.39593908629441626
NT5006 NT5025 0.4483985765124555
NT5006 NT5026 0.3573667711598746
NT5006 NT5032 0.35888501742160284
NT5006 NT5037 0.2932203389830509
NT5006 NT5038 0.34766355140186916
NT5006 NT5040 0.36446886446886445
NT5006 NT5042 0.3900709219858156
NT5006 NT5044 0.40943396226415096
NT5006 NT5045 0.3587360594795539
NT5006 NT5046 0.279926335174954
NT5006 NT5048 0.3226381461675579
NT5006 NT5049 0.3222591362126246
NT5006 NT5051 0.3682432432432432
NT5006 NT5052 0.36006825938566556
NT5006 NT5068 0.35910652920962194
NT5006 NT5072 0.359925788497217
NT5006 NT5074 0.325
NT5006 NT5075 0.31569343065693434
NT5006 NT5076 0.27689594356261027
NT5006 NT5077 0.4279835390946502
NT5006 YK0001 0.30335097001763667
NT5006 YK0002 0.3696027633851468
NT5007 NT5001 0.5429553264604811
NT5007 NT5002 0.53184165232358
NT5007 NT5003 0.5468227424749165
NT5007 NT5004 0.5420098846787479
NT5007 NT5005 0.5
NT5007 NT5006 0.5148148148148148
NT5007 NT5007 0
NT5007 NT5008 0.5063520871143375
NT5007 NT5009 0.5219683655536027
NT5007 NT5011 0.5309734513274336
NT5007 NT5013 0.511320754716981
NT5007 NT5014 0.5059288537549407
NT5007 NT5019 0.5582608695652174
NT5007 NT5020 0.49804687499999994
NT5007 NT5021 0.5335753176043556
NT5007 NT5022 0.515400410677618
NT5007 NT5023 0.5227686703096539
NT5007 NT5024 0.5295169946332737
NT5007 NT5025 0.5109780439121756
NT5007 NT5026 0.5571205007824727
NT5007 NT5032 0.4719101123595506
NT5007 NT5037 0.5341098169717138
NT5007 NT5038 0.44353182751540043
NT5007 NT5040 0.5445920303605313
NT5007 NT5042 0.47265625000000006
NT5007 NT5044 0.515527950310559
NT5007 NT5045 0.5329457364341086
NT5007 NT5046 0.5201465201465202
NT5007 NT5048 0.5073260073260073
NT5007 NT5049 0.5460526315789473
NT5007 NT5051 0.5263157894736842
NT5007 NT5052 0.5247349823321554
NT5007 NT5068 0.5249110320284698
NT5007 NT5072 0.4306418219461698
NT5007 NT5074 0.5495049504950494
NT5007 NT5075 0.5429616087751371
NT5007 NT5076 0.5174216027874564
NT5007 NT5077 0.5714285714285715
NT5007 YK0001 0.4964028776978417
NT5007 YK0002 0.462406015037594
NT5008 NT5001 0.37152209492635024
NT5008 NT5002 0.3870967741935484
NT5008 NT5003 0.3744
NT5008 NT5004 0.3488
NT5008 NT5005 0.30319148936170215
NT5008 NT5006 0.3321616871704745
NT5008 NT5007 0.5063520871143375
NT5008 NT5008 0
NT5008 NT5009 0.3197278911564626
NT5008 NT5011 0.32130584192439865
NT5008 NT5013 0.3578947368421052
NT5008 NT5014 0.4564102564102564
NT5008 NT5019 0.3513513513513513
NT5008 NT5020 0.4500846023688664
NT5008 NT5021 0.38954468802698144
NT5008 NT5022 0.4324324324324324
NT5008 NT5023 0.3790186125211506
NT5008 NT5024 0.3576271186440678
NT5008 NT5025 0.47350427350427354
NT5008 NT5026 0.3191823899371069
NT5008 NT5032 0.3760539629005059
NT5008 NT5037 0.29235880398671094
NT5008 NT5038 0.3925399644760213
NT5008 NT5040 0.3381818181818182
NT5008 NT5042 0.4412751677852349
NT5008 NT5044 0.437613019891501
NT5008 NT5045 0.3443223443223443
NT5008 NT5046 0.26047358834244083
NT5008 NT5048 0.3269565217391304
NT5008 NT5049 0.3397745571658615
NT5008 NT5051 0.36318407960199006
NT5008 NT5052 0.38220757825370677
NT5008 NT5068 0.30849220103986136
NT5008 NT5072 0.4038800705467372
NT5008 NT5074 0.3371150729335494
NT5008 NT5075 0.3409490333919157
NT5008 NT5076 0.2852233676975945
NT5008 NT5077 0.38812154696132595
NT5008 YK0001 0.35618729096989965
NT5008 YK0002 0.38898163606010017
NT5009 NT5001 0.3474714518760196
NT5009 NT5002 0.35275080906148865
NT5009 NT5003 0.35612082670906203
NT5009 NT5004 0.3490566037735849
NT5009 NT5005 0.29545454545454547
NT5009 NT5006 0.30052724077328646
NT5009 NT5007 0.5219683655536027
NT5009 NT5008 0.3197278911564626
NT5009 NT5009 0
NT5009 NT5011 0.2232142857142857
NT5009 NT5013 0.23333333333333334
NT5009 NT5014 0.4336734693877551
NT5009 NT5019 0.32941176470588235
NT5009 NT5020 0.40885860306643956
NT5009 NT5021 0.3480475382003396
NT5009 NT5022 0.45296167247386765
NT5009 NT5023 0.37603993344425957
NT5009 NT5024 0.3872549019607843
NT5009 NT5025 0.42114384748700173
NT5009 NT5026 0.31211180124223603
NT5009 NT5032 0.36500000000000005
NT5009 NT5037 0.2824302134646962
NT5009 NT5038 0.35472370766488415
NT5009 NT5040 0.33868092691622104
NT5009 NT5042 0.4398682042833608
NT5009 NT5044 0.4660869565217392
NT5009 NT5045 0.33574007220216606
NT5009 NT5046 0.2839506172839506
NT5009 NT5048 0.24372759856630827
NT5009 NT5049 0.31350482315112543
NT5009 NT5051 0.36585365853658536
NT5009 NT5052 0.36333878887070375
NT5009 NT5068 0.3066439522998296
NT5009 NT5072 0.4195205479452055
NT5009 NT5074 0.3375796178343949
NT5009 NT5075 0.2540834845735027
NT5009 NT5076 0.2452504317789292
NT5009 NT5077 0.3789329685362517
NT5009 YK0001 0.34271523178807944
NT5009 YK0002 0.36710963455149503
NT5011 NT5001 0.3519736842105263
NT5011 NT5002 0.324459234608985
NT5011 NT5003 0.3392857142857143
NT5011 NT5004 0.3376
NT5011 NT5005 0.2724014336917563
NT5011 NT5006 0.31095406360424027
NT5011 NT5007 0.5309734513274336
NT5011 NT5008 0.32130584192439865
NT5011 NT5009 0.2232142857142857
NT5011 NT5011 0
NT5011 NT5013 0.26335174953959484
NT5011 NT5014 0.4201388888888889
NT5011 NT5019 0.33671742808798644
NT5011 NT5020 0.38917975567190227
NT5011 NT5021 0.36394557823129253
NT5011 NT5022 0.40834845735027225
NT5011 NT5023 0.3447684391080617
NT5011 NT5024 0.37333333333333335
NT5011 NT5025 0.4210526315789474
NT5011 NT5026 0.2645161290322581
NT5011 NT5032 0.38870431893687707
NT5011 NT5037 0.22773972602739728
NT5011 NT5038 0.3567567567567568
NT5011 NT5040 0.3131868131868132
NT5011 NT5042 0.42424242424242425
NT5011 NT5044 0.4446428571428572
NT5011 NT5045 0.3253676470588235
NT5011 NT5046 0.2572463768115942
NT5011 NT5048 0.21217712177121772
NT5011 NT5049 0.3094462540716612
NT5011 NT5051 0.33779264214046817
NT5011 NT5052 0.3322091062394603
NT5011 NT5068 0.30224525043177897
NT5011 NT5072 0.42214532871972316
NT5011 NT5074 0.32576985413290116
NT5011 NT5075 0.22905027932960892
NT5011 NT5076 0.25823223570190645
NT5011 NT5077 0.3784530386740331
NT5011 YK0001 0.3417085427135678
NT5011 YK0002 0.38
NT5013 NT5001 0.38487394957983195
NT5013 NT5002 0.3873121869782971
NT5013 NT5003 0.38220757825370677
NT5013 NT5004 0.369281045751634
NT5013 NT5005 0.32181818181818184
NT5013 NT5006 0.2992565055762082
NT5013 NT5007 0.511320754716981
NT5013 NT5008 0.3578947368421052
NT5013 NT5009 0.23333333333333334
NT5013 NT5011 0.26335174953959484
NT5013 NT5013 0
NT5013 NT5014 0.4142335766423358
NT5013 NT5019 0.35888501742160284
NT5013 NT5020 0.4050632911392405
