rowname NT5001 NT5002 NT5003 NT5004 NT5005 NT5006 NT5007 NT5008 NT5009 NT5011 NT5013 NT5014 NT5019 NT5020 NT5021 NT5022 NT5023 NT5024 NT5025 NT5026 NT5032 NT5037 NT5038 NT5040 NT5042 NT5044 NT5045 NT5046 NT5048 NT5049 NT5051 NT5052 NT5068 NT5072 NT5074 NT5075 NT5076 NT5077 YK0001 YK0002
NT5001 0 0.1431159420289855 0.18641114982578397 0.1838487972508591 0.36605657237936773 0.3712374581939799 0.5429553264604811 0.37152209492635024 0.3474714518760196 0.3519736842105263 0.38487394957983195 0.3096539162112933 0.2345679012345679 0.2859744990892532 0.3247863247863248 0.4461805555555555 0.39379084967320266 0.35702479338842974 0.46488294314381273 0.3449319213313162 0.4267515923566879 0.35725429017160687 0.45771144278606957 0.41116751269035534 0.4462540716612378 0.4348591549295775 0.4307432432432433 0.3639398998330551 0.3685950413223141 0.12099644128113878 0.10841121495327104 0.13172541743970315 0.39840000000000003 0.4779050736497545 0.16579406631762653 0.37688442211055273 0.3526570048309179 0.3804347826086956 0.3636363636363636 0.39805825242718446
NT5002 0.1431159420289855 0 0.21501706484641636 0.20910623946037102 0.3685950413223141 0.362876254180602 0.53184165232358 0.3870967741935484 0.35275080906148865 0.324459234608985 0.3873121869782971 0.30978260869565216 0.274442538593482 0.3046594982078853 0.33895446880269814 0.4098939929328622 0.375 0.3649754500818331 0.4590984974958264 0.3448795180722891 0.4213036565977742 0.33647798742138363 0.45198675496688745 0.3807890222984563 0.45571658615136873 0.41207815275310833 0.4196277495769882 0.38788870703764317 0.36303630363036304 0.18632478632478633 0.14416058394160586 0.13284132841328414 0.4031746031746032 0.4672131147540984 0.21621621621621626 0.3602693602693603 0.3365695792880259 0.3736413043478261 0.3739967897271268 0.37683523654159873
NT5003 0.18641114982578397 0.21501706484641636 0 0.1381692573402418 0.3448844884488449 0.34442595673876875 0.5468227424749165 0.3744 0.35612082670906203 0.3392857142857143 0.38220757825370677 0.3466898954703833 0.22876949740034663 0.26353790613718414 0.30338983050847457 0.44217687074829926 0.35947712418300654 0.3576051779935275 0.4323873121869783 0.34323922734026746 0.4085173501577287 0.33746130030959753 0.4176372712146423 0.3865546218487395 0.44000000000000006 0.4550084889643463 0.3870967741935484 0.3854838709677419 0.38202247191011235 0.14310344827586208 0.21280276816608998 0.19014084507042253 0.405616224648986 0.4332784184514003 0.19831932773109245 0.3690280065897858 0.33226837060702874 0.3630229419703104 0.35096153846153844 0.3952380952380953
NT5004 0.1838487972508591 0.20910623946037102 0.1381692573402418 0 0.343089430894309 0.3233830845771144 0.5420098846787479 0.3488 0.3490566037735849 0.3376 0.369281045751634 0.37815126050420167 0.2226027397260274 0.30502599653379553 0.30782029950083195 0.42833052276559863 0.33605220228384997 0.3634920634920635 0.4521880064829822 0.3068862275449102 0.3984375 0.30482115085536554 0.4250814332247558 0.3894389438943894 0.4393700787401575 0.4305084745762712 0.4059405940594059 0.36757624398073835 0.35104669887278583 0.14431239388794567 0.17565217391304347 0.19999999999999998 0.37558685446009393 0.4403225806451613 0.1683501683501684 0.3615635179153094 0.30399999999999994 0.3324287652645862 0.32263242375601925 0.3826771653543307
NT5005 0.36605657237936773 0.3685950413223141 0.3448844884488449 0.343089430894309 0 0.30434782608695654 0.5 0.30319148936170215 0.29545454545454547 0.2724014336917563 0.32181818181818184 0.39928057553956836 0.3787878787878788 0.37003610108303253 0.370242214532872 0.4389799635701275 0.3846153846153846 0.4066666666666667 0.4229390681003585 0.3422291993720565 0.3816013628620102 0.29411764705882354 0.39568345323741005 0.38240574506283664 0.4500846023688664 0.4527272727272727 0.35 0.24253731343283583 0.2776769509981851 0.34471544715447155 0.34634974533106955 0.3435897435897436 0.3622448979591837 0.38112522686025413 0.35284552845528455 0.2695167286245353 0.3017241379310345 0.4126547455295736 0.3806343906510851 0.38370118845500845
NT5006 0.3712374581939799 0.362876254180602 0.34442595673876875 0.3233830845771144 0.30434782608695654 0 0.5148148148148148 0.3321616871704745 0.30052724077328646 0.31095406360424027 0.2992565055762082 0.4389380530973451 0.3562822719449225 0.415929203539823 0.36427320490367776 0.3889943074003795 0.32976827094474154 0.39593908629441626 0.4483985765124555 0.3573667711598746 0.35888501742160284 0.2932203389830509 0.34766355140186916 0.36446886446886445 0.3900709219858156 0.40943396226415096 0.3587360594795539 0.279926335174954 0.3226381461675579 0.3222591362126246 0.3682432432432432 0.36006825938566556 0.35910652920962194 0.359925788497217 0.325 0.31569343065693434 0.27689594356261027 0.4279835390946502 0.30335097001763667 0.3696027633851468
NT5007 0.5429553264604811 0.53184165232358 0.5468227424749165 0.5420098846787479 0.5 0.5148148148148148 0 0.5063520871143375 0.5219683655536027 0.5309734513274336 0.511320754716981 0.5059288537549407 0.5582608695652174 0.49804687499999994 0.5335753176043556 0.515400410677618 0.5227686703096539 0.5295169946332737 0.5109780439121756 0.5571205007824727 0.4719101123595506 0.5341098169717138 0.44353182751540043 0.5445920303605313 0.47265625000000006 0.515527950310559 0.5329457364341086 0.5201465201465202 0.5073260073260073 0.5460526315789473 0.5263157894736842 0.5247349823321554 0.5249110320284698 0.4306418219461698 0.5495049504950494 0.5429616087751371 0.5174216027874564 0.5714285714285715 0.4964028776978417 0.462406015037594
NT5008 0.37152209492635024 0.3870967741935484 0.3744 0.3488 0.30319148936170215 0.3321616871704745 0.5063520871143375 0 0.3197278911564626 0.32130584192439865 0.3578947368421052 0.4564102564102564 0.3513513513513513 0.4500846023688664 0.38954468802698144 0.4324324324324324 0.3790186125211506 0.3576271186440678 0.47350427350427354 0.3191823899371069 0.3760539629005059 0.29235880398671094 0.3925399644760213 0.3381818181818182 0.4412751677852349 0.437613019891501 0.3443223443223443 0.26047358834244083 0.3269565217391304 0.3397745571658615 0.36318407960199006 0.38220757825370677 0.30849220103986136 0.4038800705467372 0.3371150729335494 0.3409490333919157 0.2852233676975945 0.38812154696132595 0.35618729096989965 0.38898163606010017
NT5009 0.3474714518760196 0.35275080906148865 0.35612082670906203 0.3490566037735849 0.29545454545454547 0.30052724077328646 0.5219683655536027 0.3197278911564626 0 0.2232142857142857 0.23333333333333334 0.4336734693877551 0.32941176470588235 0.40885860306643956 0.3480475382003396 0.45296167247386765 0.37603993344425957 0.3872549019607843 0.42114384748700173 0.31211180124223603 0.36500000000000005 0.2824302134646962 0.35472370766488415 0.33868092691622104 0.4398682042833608 0.4660869565217392 0.33574007220216606 0.2839506172839506 0.24372759856630827 0.31350482315112543 0.36585365853658536 0.36333878887070375 0.3066439522998296 0.4195205479452055 0.3375796178343949 0.2540834845735027 0.2452504317789292 0.3789329685362517 0.34271523178807944 0.36710963455149503
NT5011 0.3519736842105263 0.324459234608985 0.3392857142857143 0.3376 0.2724014336917563 0.31095406360424027 0.5309734513274336 0.32130584192439865 0.2232142857142857 0 0.26335174953959484 0.4201388888888889 0.33671742808798644 0.38917975567190227 0.36394557823129253 0.40834845735027225 0.3447684391080617 0.37333333333333335 0.4210526315789474 0.2645161290322581 0.38870431893687707 0.22773972602739728 0.3567567567567568 0.3131868131868132 0.42424242424242425 0.4446428571428572 0.3253676470588235 0.2572463768115942 0.21217712177121772 0.3094462540716612 0.33779264214046817 0.3322091062394603 0.30224525043177897 0.42214532871972316 0.32576985413290116 0.22905027932960892 0.25823223570190645 0.3784530386740331 0.3417085427135678 0.38
NT5013 0.38487394957983195 0.3873121869782971 0.38220757825370677 0.369281045751634 0.32181818181818184 0.2992565055762082 0.511320754716981 0.3578947368421052 0.23333333333333334 0.26335174953959484 0 0.4142335766423358 0.35888501742160284 0.4050632911392405 0.364120781527531 0.4315196998123827 0.35294117647058826 0.38793103448275856 0.4550359712230216 0.34400000000000003 0.4092465753424658 0.2950257289879931 0.3503787878787879 0.33017077798861477 0.43257443082311736 0.44859813084112143 0.3106796116504854 0.32849364791288566 0.2589118198874296 0.357495881383855 0.37649063032367974 0.35986159169550175 0.3148479427549195 0.40476190476190477 0.3466666666666667 0.2765151515151515 0.2724014336917563 0.4393939393939394 0.33508771929824566 0.3948275862068965
NT5014 0.3096539162112933 0.30978260869565216 0.3466898954703833 0.37815126050420167 0.39928057553956836 0.4389380530973451 0.5059288537549407 0.4564102564102564 0.4336734693877551 0.4201388888888889 0.4142335766423358 0 0.3911504424778761 0.302 0.35555555555555557 0.4616858237547893 0.45580589254766024 0.4147627416520211 0.40847784200385356 0.45608628659476114 0.4471403812824956 0.4399350649350649 0.47358834244080145 0.46279491833030856 0.47433628318584076 0.45542635658914726 0.45571955719557194 0.4610051993067591 0.41312056737588654 0.35213675213675216 0.33333333333333337 0.30241187384044527 0.4300518134715025 0.4595588235294118 0.34939759036144574 0.44778761061946903 0.4326599326599327 0.4972677595628415 0.45531197301854975 0.41622574955908287
NT5019 0.2345679012345679 0.274442538593482 0.22876949740034663 0.2226027397260274 0.3787878787878788 0.3562822719449225 0.5582608695652174 0.3513513513513513 0.32941176470588235 0.33671742808798644 0.35888501742160284 0.3911504424778761 0 0.32667876588021777 0.3459552495697074 0.4631578947368421 0.37436762225969644 0.35858585858585856 0.4473229706390328 0.3662613981762918 0.4114754098360656 0.3508771929824561 0.44273504273504266 0.37742504409171074 0.48460291734197725 0.4491978609625668 0.375 0.3656462585034014 0.3785594639865996 0.21206896551724136 0.24247787610619473 0.26970227670753066 0.3980424143556281 0.4765886287625419 0.25084745762711863 0.34782608695652173 0.32387312186978295 0.37983425414364635 0.3516666666666667 0.4363929146537842
NT5020 0.2859744990892532 0.3046594982078853 0.26353790613718414 0.30502599653379553 0.37003610108303253 0.415929203539823 0.49804687499999994 0.4500846023688664 0.40885860306643956 0.38917975567190227 0.4050632911392405 0.302 0.32667876588021777 0 0.34981684981684985 0.47476635514018695 0.4467353951890034 0.40034965034965037 0.38653846153846155 0.4432515337423312 0.41083916083916083 0.4239482200647249 0.4527272727272727 0.4615384615384615 0.4649122807017544 0.4831460674157304 0.45173041894353366 0.44655172413793104 0.41535776614310643 0.2799295774647887 0.31283905967450265 0.2878228782287823 0.44256756756756754 0.4356617647058824 0.3095652173913043 0.40787119856887294 0.41077441077441074 0.47115384615384615 0.411965811965812 0.432013769363167
NT5021 0.3247863247863248 0.33895446880269814 0.30338983050847457 0.30782029950083195 0.370242214532872 0.36427320490367776 0.5335753176043556 0.38954468802698144 0.3480475382003396 0.36394557823129253 0.364120781527531 0.35555555555555557 0.3459552495697074 0.34981684981684985 0 0.4166666666666667 0.3769363166953529 0.33797909407665505 0.46234676007005254 0.37846153846153846 0.45098039215686275 0.3766025641025641 0.3963963963963964 0.3713768115942029 0.4638655462184874 0.4277777777777778 0.3627992633517495 0.3876500857632933 0.3587521663778163 0.3122923588039867 0.31542461005199307 0.3094405594405594 0.38215488215488214 0.46020761245674746 0.2806122448979592 0.36155202821869487 0.3616666666666667 0.41540577716643745 0.362098138747885 0.39527027027027023
NT5022 0.4461805555555555 0.4098939929328622 0.44217687074829926 0.42833052276559863 0.4389799635701275 0.3889943074003795 0.515400410677618 0.4324324324324324 0.45296167247386765 0.40834845735027225 0.4315196998123827 0.4616858237547893 0.4631578947368421 0.47476635514018695 0.4166666666666667 0 0.29083665338645415 0.42286751361161523 0.5395948434622467 0.43709677419354837 0.493891797556719 0.4027538726333907 0.4059405940594059 0.41015625000000006 0.4328922495274102 0.18095238095238095 0.392 0.41959334565619216 0.4007421150278293 0.46115702479338844 0.42451154529307283 0.41651705565529623 0.4187725631768953 0.44594594594594594 0.451505016722408 0.437037037037037 0.42456140350877186 0.5139275766016713 0.3886861313868613 0.3648393194706995
NT5023 0.39379084967320266 0.375 0.35947712418300654 0.33605220228384997 0.3846153846153846 0.32976827094474154 0.5227686703096539 0.3790186125211506 0.37603993344425957 0.3447684391080617 0.35294117647058826 0.45580589254766024 0.37436762225969644 0.4467353951890034 0.3769363166953529 0.29083665338645415 0 0.38344594594594594 0.4810344827586207 0.3275316455696203 0.41235392320534225 0.2981574539363484 0.390990990990991 0.39501779359430605 0.42710120068610635 0.30278884462151395 0.38698010849909587 0.3513986013986014 0.3420593368237347 0.3511326860841424 0.38308457711442784 0.36974789915966383 0.35213675213675216 0.4194690265486726 0.3404255319148936 0.3591549295774648 0.2970639032815199 0.4046961325966851 0.3142361111111111 0.3540587219343696
NT5024 0.35702479338842974 0.3649754500818331 0.3576051779935275 0.3634920634920635 0.4066666666666667 0.39593908629441626 0.5295169946332737 0.3576271186440678 0.3872549019607843 0.37333333333333335 0.38793103448275856 0.4147627416520211 0.35858585858585856 0.40034965034965037 0.33797909407665505 0.42286751361161523 0.38344594594594594 0 0.46206896551724136 0.3768996960486322 0.3831932773109244 0.3620414673046252 0.39145907473309605 0.38977072310405647 0.4736842105263158 0.4365942028985507 0.3903743315508022 0.39123102866779086 0.3711864406779661 0.3440514469453376 0.3702479338842975 0.3595317725752508 0.3558178752107926 0.44406196213425125 0.3360389610389611 0.3962585034013606 0.36288998357963875 0.3872752420470263 0.3714759535655058 0.4325203252032521
NT5025 0.46488294314381273 0.4590984974958264 0.4323873121869783 0.4521880064829822 0.4229390681003585 0.4483985765124555 0.5109780439121756 0.47350427350427354 0.42114384748700173 0.4210526315789474 0.4550359712230216 0.40847784200385356 0.4473229706390328 0.38653846153846155 0.46234676007005254 0.5395948434622467 0.4810344827586207 0.46206896551724136 0 0.4667697063369397 0.40360360360360364 0.4611650485436894 0.4945454545454545 0.4726277372262774 0.5104895104895105 0.5452865064695009 0.4797794117647059 0.47304347826086957 0.4336283185840708 0.43349753694581283 0.4808013355592654 0.46349745331069614 0.45000000000000007 0.4666666666666667 0.43657331136738053 0.4600355239786856 0.44425675675675674 0.494475138121547 0.48747913188647746 0.5075630252100841
NT5026 0.3449319213313162 0.3448795180722891 0.34323922734026746 0.3068862275449102 0.3422291993720565 0.3573667711598746 0.5571205007824727 0.3191823899371069 0.31211180124223603 0.2645161290322581 0.34400000000000003 0.45608628659476114 0.3662613981762918 0.4432515337423312 0.37846153846153846 0.43709677419354837 0.3275316455696203 0.3768996960486322 0.4667697063369397 0 0.3909090909090909 0.21958925750394948 0.41889763779527556 0.3661290322580645 0.40372670807453415 0.4492753623188406 0.3743922204213938 0.29449838187702265 0.28038897893030795 0.3209509658246657 0.3292307692307692 0.3571428571428571 0.2963549920760697 0.44582043343653255 0.3208955223880597 0.3122977346278317 0.2587301587301587 0.3074866310160428 0.3328197226502311 0.34009360374414976
NT5032 0.4267515923566879 0.4213036565977742 0.4085173501577287 0.3984375 0.3816013628620102 0.35888501742160284 0.4719101123595506 0.3760539629005059 0.36500000000000005 0.38870431893687707 0.4092465753424658 0.4471403812824956 0.4114754098360656 0.41083916083916083 0.45098039215686275 0.493891797556719 0.41235392320534225 0.3831932773109244 0.40360360360360364 0.3909090909090909 0 0.3505654281098546 0.4328097731239092 0.4335060449050086 0.4372881355932204 0.5043630017452008 0.44000000000000006 0.37392795883361923 0.3730834752981261 0.3924646781789639 0.4419713831478537 0.419773095623987 0.3741610738255034 0.421792618629174 0.4053208137715181 0.41989881956155145 0.34003350083752093 0.39335180055401664 0.37873754152823924 0.4243421052631579
NT5037 0.35725429017160687 0.33647798742138363 0.33746130030959753 0.30482115085536554 0.29411764705882354 0.2932203389830509 0.5341098169717138 0.29235880398671094 0.2824302134646962 0.22773972602739728 0.2950257289879931 0.4399350649350649 0.3508771929824561 0.4239482200647249 0.3766025641025641 0.4027538726333907 0.2981574539363484 0.3620414673046252 0.4611650485436894 0.21958925750394948 0.3505654281098546 0 0.3896321070234114 0.33561643835616434 0.40032414910858993 0.41852487135506006 0.34707903780068733 0.244367417677643 0.22608695652173913 0.3142414860681114 0.3386327503974563 0.3306581059390048 0.2909090909090909 0.40826446280991735 0.30359937402190923 0.27835051546391754 0.19795221843003413 0.34459459459459457 0.3182552504038772 0.3526570048309179
NT5038 0.45771144278606957 0.45198675496688745 0.4176372712146423 0.4250814332247558 0.39568345323741005 0.34766355140186916 0.44353182751540043 0.3925399644760213 0.35472370766488415 0.3567567567567568 0.3503787878787879 0.47358834244080145 0.44273504273504266 0.4527272727272727 0.3963963963963964 0.4059405940594059 0.390990990990991 0.39145907473309605 0.4945454545454545 0.41889763779527556 0.4328097731239092 0.3896321070234114 0 0.3735632183908046 0.3759398496240602 0.4146825396825397 0.34842519685039375 0.37591240875912413 0.3419593345656192 0.4215686274509804 0.4504201680672269 0.4351535836177475 0.37030411449016104 0.22033898305084745 0.43485342019543977 0.3600746268656716 0.3913793103448276 0.4715672676837725 0.3125 0.34558823529411764
NT5040 0.41116751269035534 0.3807890222984563 0.3865546218487395 0.3894389438943894 0.38240574506283664 0.36446886446886445 0.5445920303605313 0.3381818181818182 0.33868092691622104 0.3131868131868132 0.33017077798861477 0.46279491833030856 0.37742504409171074 0.4615384615384615 0.3713768115942029 0.41015625000000006 0.39501779359430605 0.38977072310405647 0.4726277372262774 0.3661290322580645 0.4335060449050086 0.33561643835616434 0.3735632183908046 0 0.4603174603174603 0.443159922928709 0.22964509394572025 0.3005671077504726 0.3097014925373134 0.3803986710963455 0.38927335640138405 0.4061962134251291 0.3571428571428571 0.44220183486238535 0.3806343906510851 0.31178707224334595 0.3238434163701068 0.4569444444444445 0.4072164948453609 0.4246100519930676
NT5042 0.4462540716612378 0.45571658615136873 0.44000000000000006 0.4393700787401575 0.4500846023688664 0.3900709219858156 0.47265625000000006 0.4412751677852349 0.4398682042833608 0.42424242424242425 0.43257443082311736 0.47433628318584076 0.48460291734197725 0.4649122807017544 0.4638655462184874 0.4328922495274102 0.42710120068610635 0.4736842105263158 0.5104895104895105 0.40372670807453415 0.4372881355932204 0.40032414910858993 0.3759398496240602 0.4603174603174603 0 0.435361216730038 0.44784172661870497 0.42685025817555944 0.4038128249566724 0.4433962264150943 0.44407894736842113 0.44205298013245037 0.42060810810810806 0.369811320754717 0.44391785150078983 0.4564102564102564 0.4311475409836066 0.4721845318860244 0.3473684210526316 0.32
NT5044 0.4348591549295775 0.41207815275310833 0.4550084889643463 0.4305084745762712 0.4527272727272727 0.40943396226415096 0.515527950310559 0.437613019891501 0.4660869565217392 0.4446428571428572 0.44859813084112143 0.45542635658914726 0.4491978609625668 0.4831460674157304 0.4277777777777778 0.18095238095238095 0.30278884462151395 0.4365942028985507 0.5452865064695009 0.4492753623188406 0.5043630017452008 0.41852487135506006 0.4146825396825397 0.443159922928709 0.435361216730038 0 0.42603550295857984 0.4189944134078212 0.4264705882352941 0.4557595993322203 0.42114695340501795 0.42446043165467623 0.42391304347826086 0.4455252918287938 0.4615384615384615 0.4538745387453874 0.4378283712784588 0.501412429378531 0.39377289377289376 0.39439252336448605
NT5045 0.4307432432432433 0.4196277495769882 0.3870967741935484 0.4059405940594059 0.35 0.3587360594795539 0.5329457364341086 0.3443223443223443 0.33574007220216606 0.3253676470588235 0.3106796116504854 0.45571955719557194 0.375 0.45173041894353366 0.3627992633517495 0.392 0.38698010849909587 0.3903743315508022 0.4797794117647059 0.3743922204213938 0.44000000000000006 0.34707903780068733 0.34842519685039375 0.22964509394572025 0.44784172661870497 0.42603550295857984 0 0.30666666666666664 0.3252336448598131 0.402317880794702 0.41206896551724137 0.40139616055846417 0.3302752293577982 0.40494296577946776 0.4026622296173045 0.28180039138943247 0.3176895306859206 0.47928176795580113 0.3968531468531469 0.4200351493848858
NT5046 0.3639398998330551 0.38788870703764317 0.3854838709677419 0.36757624398073835 0.24253731343283583 0.279926335174954 0.5201465201465202 0.26047358834244083 0.2839506172839506 0.2572463768115942 0.32849364791288566 0.4610051993067591 0.3656462585034014 0.44655172413793104 0.3876500857632933 0.41959334565619216 0.3513986013986014 0.39123102866779086 0.47304347826086957 0.29449838187702265 0.37392795883361923 0.244367417677643 0.37591240875912413 0.3005671077504726 0.42685025817555944 0.4189944134078212 0.30666666666666664 0 0.23649906890130357 0.3559870550161812 0.35532994923857864 0.37478991596638656 0.328695652173913 0.3935018050541516 0.35609756097560974 0.25375939849624063 0.26017699115044246 0.4066390041493776 0.362098138747885 0.38983050847457623
NT5048 0.3685950413223141 0.36303630363036304 0.38202247191011235 0.35104669887278583 0.2776769509981851 0.3226381461675579 0.5073260073260073 0.3269565217391304 0.24372759856630827 0.21217712177121772 0.2589118198874296 0.41312056737588654 0.3785594639865996 0.41535776614310643 0.3587521663778163 0.4007421150278293 0.3420593368237347 0.3711864406779661 0.4336283185840708 0.28038897893030795 0.3730834752981261 0.22608695652173913 0.3419593345656192 0.3097014925373134 0.4038128249566724 0.4264705882352941 0.3252336448598131 0.23649906890130357 0 0.3446601941747573 0.362876254180602 0.36302521008403366 0.2867256637168141 0.3895870736086176 0.3366013071895425 0.2634508348794063 0.2446808510638298 0.3969571230982019 0.3474576271186441 0.3556701030927835
NT5049 0.12099644128113878 0.18632478632478633 0.14310344827586208 0.14431239388794567 0.34471544715447155 0.3222591362126246 0.5460526315789473 0.3397745571658615 0.31350482315112543 0.3094462540716612 0.357495881383855 0.35213675213675216 0.21206896551724136 0.2799295774647887 0.3122923588039867 0.46115702479338844 0.3511326860841424 0.3440514469453376 0.43349753694581283 0.3209509658246657 0.3924646781789639 0.3142414860681114 0.4215686274509804 0.3803986710963455 0.4433962264150943 0.4557595993322203 0.402317880794702 0.3559870550161812 0.3446601941747573 0 0.16783216783216784 0.1797556719022688 0.3669291338582677 0.4292682926829268 0.14188034188034188 0.3443163097199341 0.31100478468899523 0.3382949932341001 0.3349282296650718 0.3943661971830986
NT5051 0.10841121495327104 0.14416058394160586 0.21280276816608998 0.17565217391304347 0.34634974533106955 0.3682432432432432 0.5263157894736842 0.36318407960199006 0.36585365853658536 0.33779264214046817 0.37649063032367974 0.33333333333333337 0.24247787610619473 0.31283905967450265 0.31542461005199307 0.42451154529307283 0.38308457711442784 0.3702479338842975 0.4808013355592654 0.3292307692307692 0.4419713831478537 0.3386327503974563 0.4504201680672269 0.38927335640138405 0.44407894736842113 0.42114695340501795 0.41206896551724137 0.35532994923857864 0.362876254180602 0.16783216783216784 0 0.111531190926276 0.3905996758508914 0.46843853820598014 0.18292682926829268 0.3684210526315789 0.3415032679738562 0.38251366120218583 0.36867862969004894 0.3927986906710311
NT5052 0.13172541743970315 0.13284132841328414 0.19014084507042253 0.19999999999999998 0.3435897435897436 0.36006825938566556 0.5247349823321554 0.38220757825370677 0.36333878887070375 0.3322091062394603 0.35986159169550175 0.30241187384044527 0.26970227670753066 0.2878228782287823 0.3094405594405594 0.41651705565529623 0.36974789915966383 0.3595317725752508 0.46349745331069614 0.3571428571428571 0.419773095623987 0.3306581059390048 0.4351535836177475 0.4061962134251291 0.44205298013245037 0.42446043165467623 0.40139616055846417 0.37478991596638656 0.36302521008403366 0.1797556719022688 0.111531190926276 0 0.39349593495934965 0.45622895622895626 0.19791666666666669 0.3488773747841105 0.33333333333333337 0.3980978260869565 0.37152209492635024 0.38512396694214873
NT5068 0.39840000000000003 0.4031746031746032 0.405616224648986 0.37558685446009393 0.3622448979591837 0.35910652920962194 0.5249110320284698 0.30849220103986136 0.3066439522998296 0.30224525043177897 0.3148479427549195 0.4300518134715025 0.3980424143556281 0.44256756756756754 0.38215488215488214 0.4187725631768953 0.35213675213675216 0.3558178752107926 0.45000000000000007 0.2963549920760697 0.3741610738255034 0.2909090909090909 0.37030411449016104 0.3571428571428571 0.42060810810810806 0.42391304347826086 0.3302752293577982 0.328695652173913 0.2867256637168141 0.3669291338582677 0.3905996758508914 0.39349593495934965 0 0.3989455184534271 0.3824451410658307 0.33916083916083917 0.28668941979522183 0.3909465020576131 0.36258278145695366 0.35423728813559324
NT5072 0.4779050736497545 0.4672131147540984 0.4332784184514003 0.4403225806451613 0.38112522686025413 0.359925788497217 0.4306418219461698 0.4038800705467372 0.4195205479452055 0.42214532871972316 0.40476190476190477 0.4595588235294118 0.4765886287625419 0.4356617647058824 0.46020761245674746 0.44594594594594594 0.4194690265486726 0.44406196213425125 0.4666666666666667 0.44582043343653255 0.421792618629174 0.40826446280991735 0.22033898305084745 0.44220183486238535 0.369811320754717 0.4455252918287938 0.40494296577946776 0.3935018050541516 0.3895870736086176 0.4292682926829268 0.46843853820598014 0.45622895622895626 0.3989455184534271 0 0.4574638844301766 0.4303571428571429 0.41595925297113756 0.4986376021798365 0.3278688524590164 0.37837837837837834
NT5074 0.16579406631762653 0.21621621621621626 0.19831932773109245 0.1683501683501684 0.35284552845528455 0.325 0.5495049504950494 0.3371150729335494 0.3375796178343949 0.32576985413290116 0.3466666666666667 0.34939759036144574 0.25084745762711863 0.3095652173913043 0.2806122448979592 0.451505016722408 0.3404255319148936 0.3360389610389611 0.43657331136738053 0.3208955223880597 0.4053208137715181 0.30359937402190923 0.43485342019543977 0.3806343906510851 0.44391785150078983 0.4615384615384615 0.4026622296173045 0.35609756097560974 0.3366013071895425 0.14188034188034188 0.18292682926829268 0.19791666666666669 0.3824451410658307 0.4574638844301766 0 0.3525535420098847 0.3 0.35838926174496644 0.3322632423756019 0.4021909233176839
NT5075 0.37688442211055273 0.3602693602693603 0.3690280065897858 0.3615635179153094 0.2695167286245353 0.31569343065693434 0.5429616087751371 0.3409490333919157 0.2540834845735027 0.22905027932960892 0.2765151515151515 0.44778761061946903 0.34782608695652173 0.40787119856887294 0.36155202821869487 0.437037037037037 0.3591549295774648 0.3962585034013606 0.4600355239786856 0.3122977346278317 0.41989881956155145 0.27835051546391754 0.3600746268656716 0.31178707224334595 0.4564102564102564 0.4538745387453874 0.28180039138943247 0.25375939849624063 0.2634508348794063 0.3443163097199341 0.3684210526315789 0.3488773747841105 0.33916083916083917 0.4303571428571429 0.3525535420098847 0 0.2826855123674912 0.4196675900277008 0.3752122241086588 0.39761092150170646
NT5076 0.3526570048309179 0.3365695792880259 0.33226837060702874 0.30399999999999994 0.3017241379310345 0.27689594356261027 0.5174216027874564 0.2852233676975945 0.2452504317789292 0.25823223570190645 0.2724014336917563 0.4326599326599327 0.32387312186978295 0.41077441077441074 0.3616666666666667 0.42456140350877186 0.2970639032815199 0.36288998357963875 0.44425675675675674 0.2587301587301587 0.34003350083752093 0.19795221843003413 0.3913793103448276 0.3238434163701068 0.4311475409836066 0.4378283712784588 0.3176895306859206 0.26017699115044246 0.2446808510638298 0.31100478468899523 0.3415032679738562 0.33333333333333337 0.28668941979522183 0.41595925297113756 0.3 0.2826855123674912 0 0.3562585969738652 0.32615894039735094 0.3747954173486089
